epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.525,0.4498886551395292,0.5,0.3289511565546991
2,0.95,0.037451914228099493,0.5,0.24728932330356232
3,0.975,0.024372194996393776,0.5,0.17589164066713486
4,0.975,0.017357201678426602,0.85,0.11938137329297324
5,0.9875,0.012740158208926563,1.0,0.08158136941106597
